timestamp,country,cases,deaths
2019-12-31,AFG,0,0
2019-12-31,ITA,0,0
2019-12-31,JPN,0,0
2019-12-31,KHM,0,0
2019-12-31,KOR,0,0
2019-12-31,KWT,0,0
2019-12-31,LBN,0,0
2019-12-31,LKA,0,0
2019-12-31,LTU,0,0
2019-12-31,LUX,0,0
2019-12-31,MCO,0,0
2019-12-31,MEX,0,0
2019-12-31,MKD,0,0
2019-12-31,MYS,0,0
2019-12-31,NLD,0,0
2019-12-31,ISR,0,0
2019-12-31,NOR,0,0
2019-12-31,NZL,0,0
2019-12-31,OMN,0,0
2019-12-31,PAK,0,0
2019-12-31,PHL,0,0
2019-12-31,QAT,0,0
2019-12-31,ROU,0,0
2019-12-31,RUS,0,0
2019-12-31,SGP,0,0
2019-12-31,SMR,0,0
2019-12-31,SWE,0,0
2019-12-31,THA,0,0
2019-12-31,TWN,0,0
2019-12-31,USA,0,0
2019-12-31,VNM,0,0
2019-12-31,NPL,0,0
2019-12-31,ISL,0,0
2019-12-31,NGA,0,0
2019-12-31,IRN,0,0
2019-12-31,IRQ,0,0
2019-12-31,ARM,0,0
2019-12-31,AUS,0,0
2019-12-31,AUT,0,0
2019-12-31,AZE,0,0
2019-12-31,BEL,0,0
2019-12-31,BHR,0,0
2019-12-31,BLR,0,0
2019-12-31,BRA,0,0
2019-12-31,CAN,0,0
2019-12-31,CHE,0,0
2019-12-31,CHN,27,0
2019-12-31,CZE,0,0
2019-12-31,DEU,0,0
2019-12-31,DNK,0,0
2019-12-31,ARE,0,0
2019-12-31,DZA,0,0
2019-12-31,DOM,0,0
2019-12-31,IND,0,0
2019-12-31,IDN,0,0
2019-12-31,HRV,0,0
2019-12-31,GRC,0,0
2019-12-31,GEO,0,0
2019-12-31,GBR,0,0
2019-12-31,IRL,0,0
2019-12-31,FIN,0,0
2019-12-31,EST,0,0
2019-12-31,ESP,0,0
2019-12-31,EGY,0,0
2019-12-31,ECU,0,0
2019-12-31,FRA,0,0
2020-01-01,MYS,0,0
2020-01-01,MKD,0,0
2020-01-01,MEX,0,0
2020-01-01,MCO,0,0
2020-01-01,ITA,0,0
2020-01-01,LUX,0,0
2020-01-01,LBN,0,0
2020-01-01,LKA,0,0
2020-01-01,KWT,0,0
2020-01-01,KOR,0,0
2020-01-01,KHM,0,0
2020-01-01,JPN,0,0
2020-01-01,NGA,0,0
2020-01-01,LTU,0,0
2020-01-01,NOR,0,0
2020-01-01,ROU,0,0
2020-01-01,NZL,0,0
2020-01-01,OMN,0,0
2020-01-01,PAK,0,0
2020-01-01,PHL,0,0
2020-01-01,QAT,0,0
2020-01-01,RUS,0,0
2020-01-01,SGP,0,0
2020-01-01,SMR,0,0
2020-01-01,SWE,0,0
2020-01-01,THA,0,0
2020-01-01,TWN,0,0
2020-01-01,USA,0,0
2020-01-01,VNM,0,0
2020-01-01,ISR,0,0
2020-01-01,NPL,0,0
2020-01-01,ISL,0,0
2020-01-01,NLD,0,0
2020-01-01,IRN,0,0
2020-01-01,ARE,0,0
2020-01-01,ARM,0,0
2020-01-01,AUS,0,0
2020-01-01,AUT,0,0
2020-01-01,AZE,0,0
2020-01-01,BEL,0,0
2020-01-01,BHR,0,0
2020-01-01,BLR,0,0
2020-01-01,BRA,0,0
2020-01-01,CAN,0,0
2020-01-01,CHE,0,0
2020-01-01,CHN,0,0
2020-01-01,CZE,0,0
2020-01-01,DEU,0,0
2020-01-01,DNK,0,0
2020-01-01,AFG,0,0
2020-01-01,DOM,0,0
2020-01-01,IRL,0,0
2020-01-01,IND,0,0
2020-01-01,IDN,0,0
2020-01-01,HRV,0,0
2020-01-01,GRC,0,0
2020-01-01,GEO,0,0
2020-01-01,GBR,0,0
2020-01-01,IRQ,0,0
2020-01-01,FIN,0,0
2020-01-01,EST,0,0
2020-01-01,ESP,0,0
2020-01-01,EGY,0,0
2020-01-01,ECU,0,0
2020-01-01,DZA,0,0
2020-01-01,FRA,0,0
2020-01-02,MKD,0,0
2020-01-02,MEX,0,0
2020-01-02,MCO,0,0
2020-01-02,LUX,0,0
2020-01-02,LTU,0,0
2020-01-02,LKA,0,0
2020-01-02,KOR,0,0
2020-01-02,KWT,0,0
2020-01-02,MYS,0,0
2020-01-02,KHM,0,0
2020-01-02,JPN,0,0
2020-01-02,ITA,0,0
2020-01-02,ISR,0,0
2020-01-02,LBN,0,0
2020-01-02,NGA,0,0
2020-01-02,NZL,0,0
2020-01-02,NOR,0,0
2020-01-02,ISL,0,0
2020-01-02,USA,0,0
2020-01-02,TWN,0,0
2020-01-02,THA,0,0
2020-01-02,SWE,0,0
2020-01-02,SMR,0,0
2020-01-02,NLD,0,0
2020-01-02,SGP,0,0
2020-01-02,ROU,0,0
2020-01-02,VNM,0,0
2020-01-02,PHL,0,0
2020-01-02,PAK,0,0
2020-01-02,OMN,0,0
2020-01-02,NPL,0,0
2020-01-02,RUS,0,0
2020-01-02,QAT,0,0
2020-01-02,IRQ,0,0
2020-01-02,IRL,0,0
2020-01-02,IRN,0,0
2020-01-02,AFG,0,0
2020-01-02,ARE,0,0
2020-01-02,ARM,0,0
2020-01-02,AUS,0,0
2020-01-02,AUT,0,0
2020-01-02,AZE,0,0
2020-01-02,BEL,0,0
2020-01-02,BLR,0,0
2020-01-02,BRA,0,0
2020-01-02,CAN,0,0
2020-01-02,CHE,0,0
2020-01-02,CHN,0,0
2020-01-02,CZE,0,0
2020-01-02,DEU,0,0
2020-01-02,BHR,0,0
2020-01-02,DOM,0,0
2020-01-02,IND,0,0
2020-01-02,DNK,0,0
2020-01-02,IDN,0,0
2020-01-02,HRV,0,0
2020-01-02,GRC,0,0
2020-01-02,GBR,0,0
2020-01-02,FRA,0,0
2020-01-02,GEO,0,0
2020-01-02,EST,0,0
2020-01-02,ESP,0,0
2020-01-02,EGY,0,0
2020-01-02,ECU,0,0
2020-01-02,DZA,0,0
2020-01-02,FIN,0,0
2020-01-03,MYS,0,0
2020-01-03,LUX,0,0
2020-01-03,MKD,0,0
2020-01-03,MEX,0,0
2020-01-03,MCO,0,0
2020-01-03,LTU,0,0
2020-01-03,ITA,0,0
2020-01-03,LBN,0,0
2020-01-03,KWT,0,0
2020-01-03,KOR,0,0
2020-01-03,KHM,0,0
2020-01-03,JPN,0,0
2020-01-03,NGA,0,0
2020-01-03,LKA,0,0
2020-01-03,NLD,0,0
2020-01-03,VNM,0,0
2020-01-03,NPL,0,0
2020-01-03,ISR,0,0
2020-01-03,USA,0,0
2020-01-03,TWN,0,0
2020-01-03,THA,0,0
2020-01-03,SWE,0,0
2020-01-03,SMR,0,0
2020-01-03,NOR,0,0
2020-01-03,SGP,0,0
2020-01-03,ROU,0,0
2020-01-03,QAT,0,0
2020-01-03,PHL,0,0
2020-01-03,PAK,0,0
2020-01-03,OMN,0,0
2020-01-03,NZL,0,0
2020-01-03,RUS,0,0
2020-01-03,ISL,0,0
2020-01-03,DNK,0,0
2020-01-03,IRN,0,0
2020-01-03,ARE,0,0
2020-01-03,ARM,0,0
2020-01-03,AUS,0,0
2020-01-03,AUT,0,0
2020-01-03,AZE,0,0
2020-01-03,BEL,0,0
2020-01-03,BHR,0,0
2020-01-03,BLR,0,0
2020-01-03,BRA,0,0
2020-01-03,CAN,0,0
2020-01-03,CHE,0,0
2020-01-03,CHN,17,0
2020-01-03,CZE,0,0
2020-01-03,DEU,0,0
2020-01-03,IRQ,0,0
2020-01-03,AFG,0,0
2020-01-03,DZA,0,0
2020-01-03,DOM,0,0
2020-01-03,IRL,0,0
2020-01-03,IND,0,0
2020-01-03,IDN,0,0
2020-01-03,GRC,0,0
2020-01-03,GEO,0,0
2020-01-03,HRV,0,0
2020-01-03,FRA,0,0
2020-01-03,FIN,0,0
2020-01-03,EST,0,0
2020-01-03,ESP,0,0
2020-01-03,EGY,0,0
2020-01-03,ECU,0,0
2020-01-03,GBR,0,0
2020-01-04,LUX,0,0
2020-01-04,MYS,0,0
2020-01-04,MKD,0,0
2020-01-04,MEX,0,0
2020-01-04,MCO,0,0
2020-01-04,LTU,0,0
2020-01-04,ITA,0,0
2020-01-04,LBN,0,0
2020-01-04,KWT,0,0
2020-01-04,KOR,0,0
2020-01-04,KHM,0,0
2020-01-04,JPN,0,0
2020-01-04,NGA,0,0
2020-01-04,LKA,0,0
2020-01-04,NLD,0,0
2020-01-04,QAT,0,0
2020-01-04,NPL,0,0
2020-01-04,NZL,0,0
2020-01-04,OMN,0,0
2020-01-04,PAK,0,0
2020-01-04,PHL,0,0
2020-01-04,ROU,0,0
2020-01-04,RUS,0,0
2020-01-04,SGP,0,0
2020-01-04,SMR,0,0
2020-01-04,SWE,0,0
2020-01-04,THA,0,0
2020-01-04,TWN,0,0
2020-01-04,USA,0,0
2020-01-04,ISR,0,0
2020-01-04,NOR,0,0
2020-01-04,ISL,0,0
2020-01-04,VNM,0,0
2020-01-04,IRN,0,0
2020-01-04,AFG,0,0
2020-01-04,ARE,0,0
2020-01-04,ARM,0,0
2020-01-04,AUS,0,0
2020-01-04,AUT,0,0
2020-01-04,AZE,0,0
2020-01-04,BEL,0,0
2020-01-04,BHR,0,0
2020-01-04,BLR,0,0
2020-01-04,BRA,0,0
2020-01-04,CAN,0,0
2020-01-04,CHE,0,0
2020-01-04,CHN,0,0
2020-01-04,CZE,0,0
2020-01-04,DEU,0,0
2020-01-04,IRQ,0,0
2020-01-04,DOM,0,0
2020-01-04,IRL,0,0
2020-01-04,IND,0,0
2020-01-04,IDN,0,0
2020-01-04,HRV,0,0
2020-01-04,DNK,0,0
